Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-24-10: Main: 2400, Feed: 5.1312
2026-01-12 17-24-11: Main: 2430, Feed: 5.1312
2026-01-12 17-24-12: Main: 2460, Feed: 5.1312
2026-01-12 17-24-13: Main: 2475, Feed: 5.1312
2026-01-12 17-24-14: Main: 2505, Feed: 5.1312
2026-01-12 17-24-15: Main: 2535, Feed: 5.1312
2026-01-12 17-24-16: Main: 2565, Feed: 5.1312
2026-01-12 17-24-17: Main: 2595, Feed: 5.1312
2026-01-12 17-24-18: Main: 2625, Feed: 5.1312
2026-01-12 17-24-19: Main: 2655, Feed: 5.1312
2026-01-12 17-24-20: Main: 2685, Feed: 5.1312
2026-01-12 17-24-21: Main: 2715, Feed: 5.1312
2026-01-12 17-24-22: Main: 2745, Feed: 5.1312
2026-01-12 17-24-23: Main: 2775, Feed: 5.1312
2026-01-12 17-24-25: Main: 2805, Feed: 5.1312
2026-01-12 17-24-26: Main: 2820, Feed: 5.1312
2026-01-12 17-24-27: Main: 2850, Feed: 5.1312
2026-01-12 17-24-28: Main: 2880, Feed: 5.1312
2026-01-12 17-24-29: Main: 2910, Feed: 5.1312
2026-01-12 17-24-30: Main: 2940, Feed: 5.1312
2026-01-12 17-24-31: Main: 2970, Feed: 5.1312
2026-01-12 17-24-32: Main: 3000, Feed: 5.1312
2026-01-12 17-24-33: Main: 3030, Feed: 5.1312
2026-01-12 17-24-34: Main: 3060, Feed: 5.1312
2026-01-12 17-24-35: Main: 3090, Feed: 5.1312
2026-01-12 17-24-36: Main: 3105, Feed: 5.1312
2026-01-12 17-24-37: Main: 3135, Feed: 5.1312
2026-01-12 17-24-38: Main: 3165, Feed: 5.1312
2026-01-12 17-24-39: Main: 3195, Feed: 5.1312
2026-01-12 17-24-40: Main: 3225, Feed: 5.1312
2026-01-12 17-24-41: Main: 3255, Feed: 5.1312
2026-01-12 17-24-42: Main: 3285, Feed: 5.1312
